filename,sub,ses,task,acq,trimstart,trimend,
group-box1_camera-overhead_right-250205_122950.mp4,mickey,RR20rev.04,RR20rev,A,0:01:14,0:16:14,
group-box1_camera-overhead_left-250205_122950.mp4,mickey,RR20rev.04,RR20rev,B,0:16:22,0:27:50,
group-box1_camera-overhead_right-250205_122950.mp4,mickey,RR20rev.05,RR20rev,A,0:28:01,0:52:02,
group-box1_camera-overhead_left-250205_122950.mp4,mickey,RR20rev.05,RR20rev,B,0:55:07,1:25:27,
group-box1_camera-overhead_right-250205_122950.mp4,jerry,RR20rev.04,RR20rev,A,1:34:46,1:44:15,
group-box1_camera-overhead_left-250205_122950.mp4,jerry,RR20rev.04,RR20rev,B,1:51:40,2:08:49,
group-box1_camera-overhead_right-250205_122950.mp4,jerry,RR20rev.05,RR20rev,A,2:09:23,2:25:06,
group-box1_camera-overhead_left-250205_122950.mp4,jerry,RR20rev.05,RR20rev,B,2:25:30,2:55:50,
group-box1_camera-overhead_left-250205_162919.mp4,pinky,RR20rev.04,RR20rev,A,0:00:14,0:13:04,
group-box1_camera-overhead_right-250205_162919.mp4,pinky,RR20rev.04,RR20rev,B,0:14:34,0:44:54,
group-box1_camera-overhead_left-250205_162919.mp4,pinky,RR20rev.05,RR20rev,A,1:02:29,1:32:49,
group-box1_camera-overhead_right-250205_162919.mp4,pinky,RR20rev.05,RR20rev,B,1:34:02,2:04:22,
group-box2_camera-overhead_left-250205_122949.mp4,gus,RR20rev.04,RR20rev,A,00:01:14,00:08:21,
group-box2_camera-overhead_right-250205_122949.mp4,gus,RR20rev.04,RR20rev,B,00:08:18,00:15:39,
group-box2_camera-overhead_left-250205_122949.mp4,gus,RR20rev.05,RR20rev,A,00:15:34,00:28:35,
group-box2_camera-overhead_right-250205_122949.mp4,gus,RR20rev.05,RR20rev,B,00:29:17,00:54:15 ,
group-box2_camera-overhead_left-250205_122949.mp4,itchy,RR20rev.04,RR20rev,A,01:34:47,01:45:55,
group-box2_camera-overhead_right-250205_122949.mp4,itchy,RR20rev.04,RR20rev,B,01:51:41,02:03:04,
group-box2_camera-overhead_left-250205_122949.mp4,itchy,RR20rev.05,RR20rev,A,02:03:41,02:19:57,
group-box2_camera-overhead_right-250205_122949.mp4,itchy,RR20rev.05,RR20rev,B,02:20:08,02:32:46,
group-box2_camera-overhead_right-250205_162919.mp4,brain,RR20rev.04,RR20rev,A,00:00:14,0:12:46,
group-box2_camera-overhead_left-250205_162919.mp4,brain,RR20rev.04,RR20rev,B,00:14:34,00:29:55,
group-box2_camera-overhead_right-250205_162919.mp4,brain,RR20rev.05,RR20rev,A,00:30:36,01:00:56,
group-box2_camera-overhead_left-250205_162919.mp4,brain,RR20rev.05,RR20rev,B,01:02:49,01:33:09,
group-box3_camera-overhead_right-250205_122948.mp4,mortimer,RR20rev.04,RR20rev,A,00:01:16,00:11:24,
group-box3_camera-overhead_left-250205_122948.mp4,mortimer,RR20rev.04,RR20rev,B,00:11:25,00:18:06,
group-box3_camera-overhead_right-250205_122948.mp4,mortimer,RR20rev.05,RR20rev,A,00:18:07,00:30:35,
group-box3_camera-overhead_left-250205_122948.mp4,mortimer,RR20rev.05,RR20rev,B,00:30:38,00:45:45,
group-box3_camera-overhead_right-250205_122948.mp4,minnie,RR20rev.04,RR20rev,A,01:34:58,02:05:00,
group-box3_camera-overhead_left-250205_122948.mp4,minnie,RR20rev.04,RR20rev,B,02:05:37,02:33:55,
group-box3_camera-overhead_right-250205_122948.mp4,minnie,RR20rev.05,RR20rev,A,02:34:59,03:05:19,
group-box3_camera-overhead_left-250205_122948.mp4,minnie,RR20rev.05,RR20rev,B,03:06:18,03:36:38,
group-box3_camera-overhead_left-250205_162918.mp4,maisy,RR20rev.04,RR20rev,A,00:00:15,00:13:24,
group-box3_camera-overhead_right-250205_162918.mp4,maisy,RR20rev.04,RR20rev,B,00:14:35,00:38:17,
group-box3_camera-overhead_left-250205_162918.mp4,maisy,RR20rev.05,RR20rev,A,00:39:25,01:09:45,
group-box3_camera-overhead_right-250205_162918.mp4,maisy,RR20rev.05,RR20rev,B,01:10:14,01:40:34,
group-box4_camera-overhead_left-250205_122950.mp4,speedy,RR20rev.04,RR20rev,A,00:01:14,00:14:20,
group-box4_camera-overhead_right-250205_122950.mp4,speedy,RR20rev.04,RR20rev,B,00:14:12,00:23:22,
group-box4_camera-overhead_left-250205_122950.mp4,speedy,RR20rev.05,RR20rev,A,00:24:16,00:55:36,
group-box4_camera-overhead_right-250205_122950.mp4,speedy,RR20rev.05,RR20rev,B,00:55:07,01:25:28,
group-box4_camera-overhead_right-250205_122950.mp4,angelina,RR20rev.04,RR20rev,A,01:34:36,02:05:06,
group-box4_camera-overhead_left-250205_122950.mp4,angelina,RR20rev.04,RR20rev,B,02:05:35,02:26:01,
group-box4_camera-overhead_right-250205_122950.mp4,angelina,RR20rev.05,RR20rev,A,02:26:26,02:56:46,
group-box4_camera-overhead_left-250205_122950.mp4,angelina,RR20rev.05,RR20rev,B,02:59:21,03:29:41,
group-box4_camera-overhead_left-250205_162920.mp4,gadget,RR20rev.04,RR20rev,A,00:00:13,00:18:13,
group-box4_camera-overhead_right-250205_162920.mp4,gadget,RR20rev.04,RR20rev,B,00:26:37,00:49:15,
group-box4_camera-overhead_left-250205_162920.mp4,gadget,RR20rev.05,RR20rev,A,01:02:28,01:32:48,
group-box4_camera-overhead_right-250205_162920.mp4,gadget,RR20rev.05,RR20rev,B,01:34:01,01:46:58,
