filename,sub,ses,task,acq,trimstart,trimend,
group-box1_camera-overhead_right-250205_104023.mp4,danger,RR20rev.04,RR20rev,A,0:00:02,0:16:22,
group-box1_camera-overhead_left-250205_104023.mp4,danger,RR20rev.04,RR20rev,B,0:16:18,0:32:45,
group-box1_camera-overhead_right-250205_104023.mp4,danger,RR20rev.05,RR20rev,A,0:32:51,1:03:11,
group-box1_camera-overhead_left-250205_104023.mp4,danger,RR20rev.05,RR20rev,B,1:04:10,1:34:30,
group-box2_camera-overhead_left-250205_104024.mp4,mighty,RR20rev.04,RR20rev,A,00:00:00,00:20:47,
group-box2_camera-overhead_right-250205_104024.mp4,mighty,RR20rev.04,RR20rev,B,00:21:17,00:47:36,
group-box2_camera-overhead_left-250205_104024.mp4,mighty,RR20rev.05,RR20rev,A,00:47:28,01:17:28,
group-box2_camera-overhead_right-250205_104024.mp4,mighty,RR20rev.05,RR20rev,B,01:17:45,01:48:06,
group-box3_camera-overhead_right-250205_104023.mp4,stuart,RR20rev.04,RR20rev,A,00:00:12,00:10:47,
group-box3_camera-overhead_left-250205_104023.mp4,stuart,RR20rev.04,RR20rev,B,00:12:25,00:42:40,
group-box3_camera-overhead_right-250205_104023.mp4,stuart,RR20rev.05,RR20rev,A,00:42:44,01:13:00,
group-box3_camera-overhead_left-250205_104023.mp4,stuart,RR20rev.05,RR20rev,B,01:13:15,01:43:36,
group-box4_camera-overhead_left-250205_104023.mp4,timothy,RR20rev.04,RR20rev,A,0:00:02,0:17:05,
group-box4_camera-overhead_right-250205_104023.mp4,timothy,RR20rev.04,RR20rev,B,0:16:58,0:30:13,
group-box4_camera-overhead_left-250205_104023.mp4,timothy,RR20rev.05,RR20rev,A,0:31:18,1:01:38,
group-box4_camera-overhead_right-250205_104023.mp4,timothy,RR20rev.05,RR20rev,B,1:04:10,1:18:33,
