path,subject,session,task,acq
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G1\A\Backup of Box 01 2023-07-09 15.39 Subject #043965_Minnie.txt,minnie,prerev,RR20,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G1\A\Backup of Box 02 2023-07-09 15.44 Subject #043966_Maisy.txt,maisy,prerev,RR20,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G1\A\Backup of Box 03 2023-07-09 15.41 Subject #043921_Angelina.txt,angelina,prerev,RR20,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G1\A\Backup of Box 04 2023-07-09 15.38 Subject #043922_Gadget.txt,gadget,prerev,RR20,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G1\B\Backup of Box 01 2023-07-09 15.54 Subject #043965_Minnie.txt,minnie,prerev,RR20,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G1\B\Backup of Box 02 2023-07-09 16.03 Subject #043966_Maisy.txt,maisy,prerev,RR20,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G1\B\Backup of Box 03 2023-07-09 15.49 Subject #043921_Angelina.txt,angelina,prerev,RR20,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G1\B\Backup of Box 04 2023-07-09 15.57 Subject #043922_Gadget.txt,gadget,prerev,RR20,B
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G2\A\Backup of Box 01 2023-07-09 16.33 Subject #043961_Mickey.txt,mickey,prerev,RR20,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230709_RR20PreReversal\G2\A\Backup of Box 02 2023-07-09 16.16 Subject #043962_Speedy.txt,speedy,prerev,RR20,A
