subject,ll_tl_x,ll_tl_y,ll_br_x,ll_br_y,rl_tl_x,rl_tl_y,rl_br_x,rl_br_y,ll_pre,rl_pre,ll_post,rl_post
danger,308,285,392,344,524,285,602,343,PUR,GRN,GRN,PUR
maisy,308,285,392,344,524,285,602,343,PUR,GRN,GRN,PUR
speedy,308,285,392,344,524,285,602,343,PUR,GRN,GRN,PUR
pinky,328,296,406,357,535,303,609,359,GRN,PUR,PUR,GRN
angelina,328,296,406,357,535,303,609,359,GRN,PUR,PUR,GRN
jerry,328,296,406,357,535,303,609,359,GRN,PUR,PUR,GRN
remy,368,374,450,439,135,373,215,434,GRN,PUR,PUR,GRN
minnie,368,374,450,439,135,373,215,434,GRN,PUR,PUR,GRN
mickey,368,374,450,439,135,373,215,434,GRN,PUR,PUR,GRN
thebrain,324,378,400,435,115,377,196,436,PUR,GRN,GRN,PUR
gadget,324,378,400,435,115,377,196,436,PUR,GRN,GRN,PUR
itchy,324,378,400,435,115,377,196,436,PUR,GRN,GRN,PUR
